"Species","ITD.Mean_f_mm","Comment","GrMhd","GrThd","GrMfd","GrMcd"
"Andrena alfkenella",1.47,NA,0.158558726405353,0.079330976339538,0.423647838835934,0.297495724972877
"Andrena ampla",NA,"Long confused with A. proxima",NA,NA,NA,NA
"Andrena angustior",1.8833,NA,0.365072448464112,0.177128742634936,0.751430499203581,0.593574976317012
"Andrena apicata",2.84,NA,1.45502190844967,0.67090041177796,1.94323498431798,1.86574175916127
"Andrena argentata",1.8583,NA,0.349014823858115,0.169618614251946,0.728559302198784,0.571866854354352
"Andrena barbilabris",2.32,NA,0.736601429162408,0.348266777174361,1.21723297531677,1.06164789228936
"Andrena bicolor",1.97,NA,0.424789053979451,0.204955466056134,0.833873900667868,0.672933019092224
"Andrena bimaculata",2.8,NA,1.38718356099607,0.640746640204181,1.88051380731408,1.79339762952521
"Andrena bucephala",2.17,NA,0.58819789253766,0.280415785068021,1.04287285755427,0.881149781708044
"Andrena chrysosceles",1.87,NA,0.356466603102019,0.173105349198066,0.739213068116964,0.581961693533795
"Andrena cineraria",2.86,NA,1.48980033471755,0.6863390028392,1.97503426498166,1.90260441574498
"Andrena clarkella",2.97,NA,1.69160207188461,0.775668953012458,2.15519051608644,2.11370794920816
"Andrena coitana",1.54,NA,0.185436297046468,0.0922448601875682,0.471775547487549,0.338694207876379
"Andrena congruens",2.32,NA,0.736601429162408,0.348266777174361,1.21723297531677,1.06164789228936
"Andrena denticulata",2.125,NA,0.548138331057452,0.261997812501977,0.99353052596644,0.831144832492981
"Andrena dorsata",1.94,NA,0.403404392679751,0.195008350339908,0.804795244196704,0.644749810321899
"Andrena falsifica",1.41,NA,0.137807080845952,0.0693056056701464,0.384719152690336,0.26486397107039
"Andrena ferox",2.4,NA,0.825640597762275,0.388727124368643,1.31652345875119,1.16688737720881
"Andrena flavipes",2.31,NA,0.725968746363228,0.343423522767378,1.20513169758344,1.04893892023151
"Andrena florea",2.44,NA,0.872879221553229,0.410126486024527,1.36783171220247,1.22192017605623
"Andrena floricola",1.5,NA,0.169716152625153,0.0847008681812773,0.44391424565469,0.314733107858623
"Andrena fucata",2.24,NA,0.654537946646887,0.310816506976633,1.12233799727096,0.962701115666149
"Andrena fulva",2.68,NA,1.19702085435984,0.555920900607614,1.69932238587219,1.58722978922676
"Andrena fulvago",2.09,NA,0.518337224664774,0.248264292204652,0.956089084095956,0.793538213988182
"Andrena fuscipes",2.19,NA,0.60664537446899,0.28888155975845,1.06523944001791,0.903978688849394
"Andrena gravida",2.5,NA,0.947253174070461,0.443732775352372,1.44688908374287,1.30754530064563
"Andrena haemorrhoa",2.43,NA,0.860896053484795,0.404702175530498,1.35490021232709,1.20800933623675
"Andrena hattorfiana",2.71,NA,1.24272384946174,0.576350190463244,1.74364460263737,1.6372627568774
"Andrena helvola",2.27,NA,0.684515103870807,0.324515786903408,1.15741153865375,0.999079596691474
"Andrena humilis",2.25,NA,0.664425598015465,0.315337575157275,1.13396112048691,0.974731184180239
"Andrena labialis",2.7,NA,1.22735566125678,0.569483733264979,1.72879853758583,1.62047439988371
"Andrena labiata",1.78,NA,0.301935186915151,0.147523649462492,0.659510121941506,0.507190331944938
"Andrena lapponica",2.54,NA,0.999241103105614,0.467165657567617,1.5009989434414,1.36671009391107
"Andrena lathyri",2.64,"Possibly extinct in UK",1.13793856980019,0.529468260380091,1.64123164777088,1.52205991357464
"Andrena lepida",2.1,NA,0.526732536897235,0.252136055049036,0.966703361410398,0.804169122755867
"Andrena marginata",1.96,NA,0.417574467712996,0.201601696924268,0.824115899635865,0.663452640573731
"Andrena minutula",1.39,NA,0.131337219476317,0.0661689102820593,0.372214453267902,0.254521962435165
"Andrena minutuloides",1.22,NA,0.084661740007321,0.0433489488627328,0.275264552571828,0.176917668708753
"Andrena nana",1.56,"Possibly extinct in UK",0.193667790597672,0.0961855755116248,0.486068185228878,0.351100445244789
"Andrena nanula",1.21,"Possibly extinct in UK",0.0823484741551299,0.0422075526190658,0.270073866194694,0.172904227722732
"Andrena nigriceps",2.54,NA,0.999241103105614,0.467165657567617,1.5009989434414,1.36671009391107
"Andrena nigroaenea",2.83,NA,1.43784854398512,0.663271938922559,1.92744513820859,1.84748355900667
"Andrena nigrospina",3.2,NA,2.17437690721249,0.987861886103516,2.56101368906223,2.60230466078773
"Andrena nitida",2.88,NA,1.52515897167974,0.702021552288541,2.0071268662273,1.93993087838326
"Andrena nitidiuscula",1.575,NA,0.20000753557588,0.0992164238823514,0.496946837256633,0.360593750848855
"Andrena niveata",1.508,"Status unclear",0.172782166627477,0.0861741779622439,0.449409556191425,0.319435324227769
"Andrena ovatula",2.23,NA,0.644754183905057,0.306340464122859,1.11078280502775,0.950766690683206
"Andrena pilipes",3.21,NA,2.19733330856889,0.99790526744579,2.57956300565342,2.62504063364765
"Andrena polita",2.3,"Recently rediscovered in GB",0.715444412126996,0.338627047787806,1.19309900826444,1.03632793922354
"Andrena praecox",2.36,NA,0.780228485496373,0.368112625946254,1.26632582225258,1.11347036884336
"Andrena proxima",1.81,"Present but also confused with A. ampla",0.319408215921736,0.155737765681916,0.685504868734215,0.531383257416143
"Andrena rosae",2.63,NA,1.12349475537977,0.522993795413186,1.62688796428428,1.50604041624508
"Andrena ruficrus",1.958,NA,0.41614195777411,0.200935528161793,0.822172120793328,0.66156690687028
"Andrena scotica",2.86,NA,1.48980033471755,0.6863390028392,1.97503426498166,1.90260441574498
"Andrena semilaevis",1.44,NA,0.147927237975053,0.074201246219617,0.403917290305644,0.280875997618272
"Andrena similis",2.39,NA,0.814117957955235,0.383500553304295,1.30387015577131,1.15338247388335
"Andrena simillima",2.28,NA,0.694718229554227,0.329173430842123,1.16923902229282,1.01139861234331
"Andrena subopaca",1.38,NA,0.128183759492292,0.0646380130800872,0.366049928910231,0.249449646533465
"Andrena synadelpha",2.266,NA,0.680463511527743,0.322665560487371,1.15269965050942,0.994179071637691
"Andrena tarsata",1.63,NA,0.224503686304233,0.110895063382929,0.538009480945748,0.396806740714232
"Andrena thoracica",3.23,NA,2.2437563249746,1.01820348086433,2.61688979835693,2.67089387563674
"Andrena tibialis",2.93,NA,1.61613043919431,0.742309169339175,2.0886458426148,2.0352929372872
"Andrena tridentata",NA,"Extinct",NA,NA,NA,NA
"Andrena trimmerana",2.66,NA,1.1672169587758,0.542583104276909,1.67013364695966,1.55442582489861
"Andrena vaga",2.67,"Recently re-colonised",1.18205288079503,0.549224003233264,1.68469213180194,1.57077288825785
"Andrena varians",2.541,NA,1.00056591111823,0.467762200717461,1.50236615128906,1.36821077462642
"Andrena wilkella",2.33,NA,0.747343101741469,0.353157062655529,1.2294029342626,1.0744551895167
"Anthidium manicatum",3.6,NA,3.23231901871868,1.44721384123149,3.36300632621301,3.61386039978557
"Anthophora bimaculata",3.25,NA,2.29086445118451,1.0387854460402,2.65452129666421,2.71725758927969
"Anthophora furcata",3.17,NA,2.10651946551325,0.958151377068702,2.50582116729091,2.53485559187809
"Anthophora plumipes",4.13,NA,5.13201448953808,2.25896794079586,4.62053718273152,5.29991304223218
"Anthophora quadrimaculata",3.08,NA,1.91188476163657,0.872733050168039,2.34432493710488,2.33926486335763
"Anthophora retusa",3.732,NA,3.64884607865676,1.62642776990538,3.65511463234661,3.99551972098556
"Apis mellifera",3.3,"Honeybee",2.41167022559471,1.09149611207361,2.74993699058453,2.83541651357836
"Bombus barbutellus",5.21,NA,11.2169756377338,4.79720081661005,7.90761750246369,10.1284636211144
"Bombus bohemicus",4.64,NA,7.59450587746814,3.29496869633215,6.04861704575053,7.33250098152444
"Bombus campestris",4.48,NA,6.7484152026261,2.94064989230533,5.57706936884454,6.64910364990645
"Bombus cryptarum",5.1,NA,10.439536396273,4.47654042711507,7.52679031325783,9.54345545998937
"Bombus cullumanus",4.95,"Extinct",9.44150222045144,4.06359160968988,7.02460365179922,8.78130970945045
"Bombus distinguendus",5.52,NA,13.625954538704,5.78584093760442,9.03868157390226,11.8994297302642
"Bombus hortorum",5.67,NA,14.9128474822506,6.31126298056176,9.61695569387156,12.822997812885
"Bombus humilis",4.54,NA,7.05748560042009,3.07025943728474,5.75135516668663,6.90035950390654
"Bombus hypnorum",5.78,"Recent colonist",15.9092279353059,6.71691808795068,10.0540048470637,13.5286609723714
"Bombus jonellus",5.08,NA,10.302372667363,4.41987671111123,7.4586935936323,9.439479113411
"Bombus lapidarius",5.99,NA,17.9398449064848,7.54080583009899,10.9191351184729,14.9439697859749
"Bombus lucorum",4.88,NA,8.99955676972248,3.88022637115041,6.79696523008912,8.43945620327642
"Bombus magnus",NA,NA,NA,NA,NA,NA
"Bombus monticola",5.1,NA,10.439536396273,4.47654042711507,7.52679031325783,9.54345545998937
"Bombus muscorum",5.09,NA,10.3707951365528,4.44814617233712,7.49269803843375,9.49137597553653
"Bombus pascuorum",4.89,NA,9.06178220234691,3.90606369824106,6.82922452284421,8.4877601619311
"Bombus pomorum",4.82,"Extinct",8.63249490532023,3.72767892180659,6.60522779029088,8.15333229381822
"Bombus pratorum",5.09,NA,10.3707951365528,4.44814617233712,7.49269803843375,9.49137597553653
"Bombus ruderarius",4.77,NA,8.33475549086534,3.6037660105127,6.4478215692505,7.9197093008835
"Bombus ruderatus",5.86,NA,16.6626232767059,7.0230226834079,10.3788010203126,14.0571912483772
"Bombus rupestris",5.62,NA,14.4747955492529,6.1326070096381,9.42193487216071,12.5102171397922
"Bombus soroeensis",4.85,NA,8.81468287073219,3.80342377178325,6.70070720540739,8.29560313821557
"Bombus subterraneus",5.59,"Extinct",14.2163512532804,6.02710949172748,9.30600993061804,12.3249203234435
"Bombus sylvarum",4.45,NA,6.59750604720149,2.87728681509202,5.49106652654678,6.52570910762177
"Bombus sylvestris",4.33,NA,6.01752993108629,2.63326010824181,5.1546182169757,6.04683690555093
"Bombus terrestris",5.91,NA,17.1460253168689,7.21915909776359,10.5847801815504,14.3941457769045
"Bombus vestalis",5.21,NA,11.2169756377338,4.79720081661005,7.90761750246369,10.1284636211144
"Ceratina cyanea",1.36,NA,0.122037124372948,0.0616500085179009,0.353895870532132,0.239500528741236
"Chelostoma campanularum",0.927,NA,0.0335884826479377,0.0177939554167397,0.145832870757332,0.0822656055380986
"Chelostoma florisomne",1.63,NA,0.224503686304233,0.110895063382929,0.538009480945748,0.396806740714232
"Coelioxys afer",2.07,NA,0.501829494359596,0.240644455544842,0.935059849068427,0.772547734215896
"Coelioxys conoideus",3.16,NA,2.0842351702767,0.948386846235649,2.48757522092339,2.51262447790422
"Coelioxys elongatus",2.96,NA,1.67250682790778,0.767233800177,2.13844324132949,2.09392581158369
"Coelioxys inermis",2.73,NA,1.2738651894666,0.590254493143854,1.77355312805499,1.67117319055318
"Coelioxys mandibularis",2.45,NA,0.884979152195207,0.415600867599345,1.38083298601727,1.23593332711976
"Coelioxys quadridentatus",2.73,NA,1.2738651894666,0.590254493143854,1.77355312805499,1.67117319055318
"Coelioxys rufescens",2.88,NA,1.52515897167974,0.702021552288541,2.0071268662273,1.93993087838326
"Colletes cunicularius",3.38,NA,2.61416871615964,1.17963579483785,2.90659369901064,3.03123607151438
"Colletes daviesanus",2.52,NA,0.97300309178323,0.45534498021181,1.47380304958603,1.33691780641939
"Colletes floralis",2.633,NA,1.12781428668745,0.524930352465026,1.63118356521379,1.51083485406591
"Colletes fodiens",2.46,NA,0.897196499578891,0.42112557525105,1.39390412315104,1.25004911969924
"Colletes halophilus",3.263,NA,2.32185487083428,1.05231691958536,2.67914544818891,2.74766892275996
"Colletes hederae",3.2,"Recent colonist",2.17437690721249,0.987861886103516,2.56101368906223,2.60230466078773
"Colletes marginatus",2.17,NA,0.58819789253766,0.280415785068021,1.04287285755427,0.881149781708044
"Colletes similis",2.41,NA,0.837277393301058,0.39400274906512,1.32924617561454,1.18049326780551
"Colletes succinctus",2.99,NA,1.73025144217508,0.792731275255015,2.18890774839084,2.1536308963424
"Dasypoda hirtipes",2.73,NA,1.2738651894666,0.590254493143854,1.77355312805499,1.67117319055318
"Dufourea halictula",NA,"Extinct",NA,NA,NA,NA
"Dufourea minuta",1.1,"Extinct",0.0597486061468074,0.0309881097395136,0.216641313810798,0.132557042594893
"Epeolus cruciger",1.86,NA,0.350090696899975,0.170122190141069,0.730101835001186,0.573326595718556
"Epeolus variegatus",1.87,NA,0.356466603102019,0.173105349198066,0.739213068116964,0.581961693533795
"Eucera longicornis",3.47,NA,2.8559395592172,1.28454155200858,3.08874514087645,3.26165915973429
"Eucera nigrescens",3.52,"Extinct",2.99683343419161,1.34552358593584,3.19266374550622,3.39438379783302
"Halictus confusus",1.54,NA,0.185436297046468,0.0922448601875682,0.471775547487549,0.338694207876379
"Halictus eurygnathus",2.08,"Recently rediscovered in GB",0.510036416193392,0.24443384082135,0.94554127988695,0.782997865013036
"Halictus maculatus",1.49,"Extinct",0.165937666862104,0.0828838435317217,0.437099026098044,0.308918072462334
"Halictus rubicundus",2.1,NA,0.526732536897235,0.252136055049036,0.966703361410398,0.804169122755867
"Halictus tumulorum",1.45,NA,0.151413533823864,0.0758848470717711,0.410434811800706,0.286347891937129
"Heriades rubicola",1.28,NA,0.099510465501077,0.0506494485841623,0.307593150110582,0.202255991335139
"Heriades truncorum",1.43,NA,0.144497755802045,0.0725436550683933,0.397458925987914,0.275471625973947
"Hoplitis adunca",2.54,"New colonist",0.999241103105614,0.467165657567617,1.5009989434414,1.36671009391107
"Hoplitis claviventris",1.95,NA,0.410446448197225,0.19828607220598,0.814423048886873,0.654058353086616
"Hoplitis leucomelana",1.44,NA,0.147927237975053,0.074201246219617,0.403917290305644,0.280875997618272
"Hylaeus annularis",1.41,NA,0.137807080845952,0.0693056056701464,0.384719152690336,0.26486397107039
"Hylaeus brevicornis",0.98,NA,0.0405011141819892,0.0213086010009303,0.16584634817051,0.0960590526034242
"Hylaeus communis",1.3,NA,0.104841523648026,0.0532603907280173,0.318823976288685,0.211190348199405
"Hylaeus confusus",1.4,NA,0.134544815689965,0.0677247002733635,0.378437484054202,0.259659946615697
"Hylaeus cornutus",1.32,NA,0.110370205822171,0.0559629610029235,0.330283975111918,0.220373881061344
"Hylaeus dilatatus",1.39,NA,0.131337219476317,0.0661689102820593,0.372214453267902,0.254521962435165
"Hylaeus hyalinatus",1.31,NA,0.107580901980892,0.054600112873976,0.32452526023716,0.215750778907563
"Hylaeus incongruus",1.431,NA,0.144838162754918,0.072708250138053,0.398102104015327,0.276009035152256
"Hylaeus pectoralis",1.348,NA,0.118450303311535,0.0599038355536068,0.346715071551777,0.233655183189053
"Hylaeus pictipes",1.05,NA,0.0510885034161292,0.0266499075997696,0.194540867764971,0.116432913731497
"Hylaeus punctulatissimus",1.47,NA,0.158558726405353,0.079330976339538,0.423647838835934,0.297495724972877
"Hylaeus signatus",1.808,NA,0.318221781254963,0.155180553843655,0.683754125422888,0.529747861330969
